name ts   x y z   roll pitch yaw  err delay
HR_6 1776353915.423923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.4e-05
QR_4 1776353915.423923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.4e-05
HR_6 1776353915.433923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.1e-05
QR_4 1776353915.433923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.1e-05
HR_6 1776353915.443923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000423
QR_4 1776353915.443923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000423
HR_6 1776353915.453923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.1e-05
QR_4 1776353915.453923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.1e-05
HR_6 1776353915.463923000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.7e-05
QR_4 1776353915.463923000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.7e-05
HR_6 1776353915.473924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.3e-05
QR_4 1776353915.473924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.3e-05
HR_6 1776353915.483924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.4e-05
QR_4 1776353915.483924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.4e-05
HR_6 1776353915.493924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.2e-05
QR_4 1776353915.493924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.2e-05
HR_6 1776353915.503924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.5e-05
QR_4 1776353915.503924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.5e-05
HR_6 1776353915.513924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.5e-05
QR_4 1776353915.513924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.5e-05
HR_6 1776353915.523924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5e-06
QR_4 1776353915.523924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5e-06
HR_6 1776353915.533924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4e-06
QR_4 1776353915.533924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4e-06
HR_6 1776353915.543924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.3e-05
QR_4 1776353915.543924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.3e-05
HR_6 1776353915.553924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.8e-05
QR_4 1776353915.553924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.8e-05
HR_6 1776353915.563924000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.2e-05
QR_4 1776353915.563924000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.2e-05
HR_6 1776353915.573925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.6e-05
QR_4 1776353915.573925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.6e-05
HR_6 1776353915.583925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.1e-05
QR_4 1776353915.583925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.1e-05
HR_6 1776353915.593925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   7.4e-05
QR_4 1776353915.593925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   7.4e-05
HR_6 1776353915.603925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.9e-05
QR_4 1776353915.603925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.9e-05
HR_6 1776353915.613925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.7e-05
QR_4 1776353915.613925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.7e-05
HR_6 1776353915.623925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.5e-05
QR_4 1776353915.623925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.5e-05
HR_6 1776353915.633925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.00013
QR_4 1776353915.633925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.00013
HR_6 1776353915.643925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000331
QR_4 1776353915.643925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000331
HR_6 1776353915.653925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   6e-05
QR_4 1776353915.653925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   6e-05
HR_6 1776353915.663925000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.2e-05
QR_4 1776353915.663925000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.2e-05
HR_6 1776353915.673926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000536
QR_4 1776353915.673926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000536
HR_6 1776353915.683926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.2e-05
QR_4 1776353915.683926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.2e-05
HR_6 1776353915.693926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000327
QR_4 1776353915.693926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000327
HR_6 1776353915.703926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   6e-05
QR_4 1776353915.703926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   6e-05
HR_6 1776353915.713926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.4e-05
QR_4 1776353915.713926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.4e-05
HR_6 1776353915.723926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   8e-06
QR_4 1776353915.723926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   8e-06
HR_6 1776353915.733926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.3e-05
QR_4 1776353915.733926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.3e-05
HR_6 1776353915.743926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.7e-05
QR_4 1776353915.743926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.7e-05
HR_6 1776353915.753926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.8e-05
QR_4 1776353915.753926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.8e-05
HR_6 1776353915.763926000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1e-05
QR_4 1776353915.763926000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1e-05
HR_6 1776353915.773927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.1e-05
QR_4 1776353915.773927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.1e-05
HR_6 1776353915.783927000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.3e-05
QR_4 1776353915.783927000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.3e-05
HR_6 1776353915.793920000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0
QR_4 1776353915.793920000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0
HR_6 1776353915.803920000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.4e-05
QR_4 1776353915.803920000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.4e-05
HR_6 1776353915.813920000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   8e-06
